Gene ID	Gene Symbol	CCFA_Risk_133
100506145	LOC100506145	0
100287102.chr1.1	DDX11L1	0.019121
100287102.chr1.2	DDX11L1	0
653635	WASH7P	10.4269
100302278	MIR1302-2	0
645520	FAM138A	0.0092149
79504	OR4G4P	0
403263	OR4G11P	0
79501	OR4F5	0
100420257	LOC100420257	0
729737	LOC729737	24.9144
728481	RPL23AP21	0
100132287	LOC100132287	15.2041
100288667	CICP7	0
100288646	LOC100288646	0
729759	OR4F29	0
728517	RPL23AP24	0
100652939	LOC100652939	0
81399	OR4F16	0
100287654	LOC100287654	0
100132630	CICP3	0
100133331	LOC100133331	13.6165
100288069	LOC100288069	17.4126
100287934	LOC100287934	0
400728	FAM87B	0
79854	LINC00115	1.9608
643837	LOC643837	3.3782
100506327	LOC100506327	0
284593	FAM41C	1.4252
388579	LOC388579	0
284600	LOC284600	0.13688
100130417	LOC100130417	1.6728
148398	SAMD11	3.486
26155	NOC2L	10.9898
339451	KLHL17	5.5131
84069	PLEKHN1	1.7508
84808	C1orf170	0.66435
57801	HES4	6.0603
100270829	RPL39P12	0
9636	ISG15	73.6193
375790	AGRN	13.2195
100288175	LOC100288175	0.51419
401934	RNF223	0.22274
54991	C1orf159	4.3072
254099	LOC254099	0.18638
406984	MIR200B	0.87687
406983	MIR200A	0.72196
554210	MIR429	3.3723
100506376	TTLL10-AS1	0.026206
254173	TTLL10	0.026462
8784	TNFRSF18	18.4947
7293	TNFRSF4	18.3685
51150	SDF4	31.8131
126792	B3GALT6	6.8486
388581	FAM132A	3.0574
118424	UBE2J2	14.5008
6339	SCNN1D	2.3407
116983	ACAP3	10.5458
126789	PUSL1	3.1396
54973	CPSF3L	13.014
80772	GLTPD1	11.2058
83756	TAS1R3	1.9688
1855	DVL1	10.4092
54587	MXRA8	23.2735
54998	AURKAIP1	36.9176
81669	CCNL2	45.1322
148413	LOC148413	7.8715
55052	MRPL20	26.6108
441869	ANKRD65	4.9381
643965	TMEM88B	0.16931
64856	VWA1	15.7845
219293	ATAD3C	1.778
83858	ATAD3B	7.4835
55210	ATAD3A	5.3016
339453	TMEM240	0.37289
29101	SSU72	18.0231
643988	C1orf233	1.1564
142678	MIB2	6.3778
8510	MMP23B	2.3194
728661	SLC35E2B	18.9023
984	CDK11B	2.4314
100287685	LOC100287685	0
100288379	LOC100288379	0
8511	MMP23A	2.2194
728642	CDK11A	24.0097
9906	SLC35E2	13.0928
100129381	LOC100129381	0
65220	NADK	40.6432
2782	GNB1	111.8261
163688	CALML6	0.70062
339456	TMEM52	0.37751
339457	C1orf222	0
85452	KIAA1751	0.23044
2563	GABRD	0.25965
5590	PRKCZ	2.8763
100506504	LOC100506504	0
199990	C1orf86	6.6528
6497	SKI	15.0144
79906	MORN1	0.78585
100129534	LOC100129534	1.1754
11079	RER1	41.5879
5192	PEX10	4.1496
9651	PLCH2	2.6613
55229	PANK4	8.9142
388585	HES5	0.09185
115110	LOC115110	15.2644
100133445	LOC100133445	13.543
8764	TNFRSF14	52.858
100131742	LOC100131742	0
127281	FAM213B	16.6341
79258	MMEL1	0.24739
100287898	TTC34	0
140625	ACTRT2	0
440556	FLJ42875	0.32454
63976	PRDM16	0.28121
100420339	LOC100420339	0
100422968	MIR4251	0
27237	ARHGEF16	5.9343
1953	MEGF6	3.6776
693135	MIR551A	0
127262	TPRG1L	21.3224
49856	WRAP73	4.8027
7161	TP73	0.39018
100506635	LOC100506635	0
57212	TP73-AS1	5.3995
148870	CCDC27	0
388588	LOC388588	1.2114
57470	LRRC47	15.6027
9731	CEP104	4.5786
1677	DFFB	3.4182
339448	C1orf174	11.0623
100133612	LOC100133612	0.52252
728716	LOC728716	0
644357	LOC644357	0
284661	LOC284661	0
55966	AJAP1	0.50228
100616489	MIR4417	0
100287877	LOC100287877	0
100616421	MIR4689	0
261734	NPHP4	1.8135
8514	KCNAB2	13.8559
26038	CHD5	0.050872
6146	RPL22	162.3219
388591	RNF207	3.5254
23463	ICMT	16.0003
148645	LINC00337	0.066113
390992	HES3	0
387509	GPR153	5.1965
11332	ACOT7	13.1884
100130071	LOC100130071	0
54626	HES2	1.0507
83715	ESPN	1.8851
100422975	MIR4252	0
8718	TNFRSF25	17.7506
57449	PLEKHG5	2.6337
79707	NOL9	3.6687
80835	TAS1R1	0
3104	ZBTB48	7.5864
9903	KLHL21	6.4753
148479	PHF13	5.3114
90326	THAP3	5.4235
55735	DNAJC11	12.2241
100505887	LOC100505887	0
23261	CAMTA1	1.7766
100270828	RPL37P9	0
100129476	LOC100129476	0
9341	VAMP3	48.3535
8863	PER3	3.1292
10911	UTS2	0.23532
3604	TNFRSF9	3.9521
11315	PARK7	41.5473
54206	ERRFI1	24.9995
390993	RPL7AP18	0
100129776	LOC100129776	0
50651	SLC45A1	0.53918
473	RERE	13.301
100270823	RPL7P11	0
644896	RPL7P7	0
100128662	RPL27P3	0
100131143	RPL23AP19	0
2023	ENO1	168.6338
100505975	ENO1-AS1	0.18678
100113373	HMGN2P17	0
765	CA6	0.1127
155184	SLC2A7	0.054128
6518	SLC2A5	6.8564
80045	GPR157	0.76668
727721	LOC727721	4.2022
407040	MIR34A	0
9563	H6PD	19.032
80176	SPSB1	9.8526
100506022	LOC100506022	0
84275	SLC25A33	5.2456
642740	RPL9P11	0
199953	TMEM201	1.4262
5293	PIK3CD	22.555
644997	C1orf200	0.41126
100270883	RPL26P7	0
22883	CLSTN1	25.8178
645010	FLJ16126	0
56998	CTNNBIP1	6.6303
84328	LZIC	9.5588
64802	NMNAT1	6.6594
116362	RBP7	2.4895
10277	UBE4B	8.0391
100270877	RPL21P21	0
100420660	PGAM1P11	0
23095	KIF1B	3.9696
100422970	MIR1273D	0
100287506	LOC100287506	0
5226	PGD	70.9365
100526739	APITD1-CORT	0
378708	APITD1	3.9334
1325	CORT	0.54137
1676	DFFA	6.2078
5195	PEX14	3.1768
54897	CASZ1	1.9833
148345	C1orf127	0.56689
390996	LOC390996	0
23435	TARDBP	34.0206
10747	MASP2	1.2827
6723	SRM	25.3429
5394	EXOSC10	17.2086
100652764	LOC100652764	0
2475	MTOR	7.9417
10218	ANGPTL7	0.11762
100270891	RPL39P6	0
29914	UBIAD1	4.8874
100421341	LOC100421341	0
57540	PTCHD2	0.099271
26232	FBXO2	2.1661
93611	FBXO44	7.9223
26270	FBXO6	33.0866
10459	MAD2L2	11.3831
374946	C1orf187	0.14095
57085	AGTRAP	31.2777
100506273	LOC100506273	0
284498	C1orf167	0
100506310	LOC100506310	0
4524	MTHFR	10.0962
1185	CLCN6	7.2885
100379251	NPPA-AS1	2.2148
4878	NPPA	1.4741
4879	NPPB	0
390997	LOC390997	0
26829	RNU5E-1	0
90231	KIAA2013	23.9788
5351	PLOD1	28.4837
9927	MFN2	19.3184
60672	MIIP	16.1055
943	TNFRSF8	1.5501
7133	TNFRSF1B	67.5369
100616438	MIR4632	1.1185
390998	LOC390998	0
55187	VPS13D	4.0954
677885	SNORA59A	1.0084
9249	DHRS3	7.4504
343066	AADACL4	0
126767	AADACL3	0
93190	C1orf158	0
390999	PRAMEF12	0
65121	PRAMEF1	0
440560	PRAMEF11	0
441870	LOC441870	0
343069	HNRNPCL1	4.1651
65122	PRAMEF2	0
400735	PRAMEF4	0
343071	PRAMEF10	0
441871	PRAMEF7	0
729356	LOC729356	0
440561	PRAMEF6	0
100129611	LOC100129611	0
653606	PRAMEF22	0
729368	PRAMEF23	0
100132865	LOC100132865	0
441873	PRAMEF25	0
649324	LOC649324	0
100419649	LOC100419649	0
440563	LOC440563	1.2214
645354	LOC645354	0
645359	LOC645359	0
401940	PRAMEF3	0
100132443	LOC100132443	0
343068	PRAMEF5	0
650236	LOC650236	0
391002	PRAMEF8	0
645382	LOC645382	0
343070	PRAMEF9	0
400736	PRAMEF13	0
391003	PRAMEF18	0
654348	PRAMEF16	0
391001	PRAMEF21	0
729516	PRAMEF24	0
645399	LOC645399	0
653619	PRAMEF15	0
729528	PRAMEF14	0
645414	PRAMEF19	0
391004	PRAMEF17	0
645425	PRAMEF20	0
126755	LRRC38	0.04366
10630	PDPN	33.5591
7799	PRDM2	5.9927
23254	KAZN	1.4329
494541	TBCAP2	0
200197	C1orf126	0.41996
55092	TMEM51	10.3217
100420251	LOC100420251	0
100421184	LOC100421184	0
114827	FHAD1	0.80299
79180	EFHD2	94.8551
11330	CTRC	0.18162
63036	CELA2A	0.045273
51032	CELA2B	0.045126
842	CASP9	2.8167
23341	DNAJC16	3.7063
79814	AGMAT	5.9133
645317	CHCHD2P6	0
935	CD24L1	0
84301	DDI2	2.7937
6248	RSC1A1	5.8834
23207	PLEKHM2	25.6489
